-2.02752,0.01459,-1.29857,-0.18574,-1.0504,-1.85293,-1.00149,-0.0225794,-1.449,-1.96636,-0.95641,-0.0450294,-1.0542,-1.98468,-0.9459,0.114091,-1.18073,-2.4206,-1.41284,0.245211,-0.1092,-0.09493,8
-2.02752,0.01459,-1.29857,-0.18574,-1.0504,-1.85293,-1.00149,-0.0225794,-1.449,-1.96636,-0.95641,-0.0450294,-1.0542,-1.98468,-0.9459,0.114091,-1.18073,-2.4206,-1.41284,0.245211,-0.1092,-0.09493,8
-2.09088,0.01459,-1.36992,-0.19076,-1.03424,-1.77998,-1.0542,-0.0208746,-1.449,-1.9844,-0.95641,-0.0657746,-1.2299,-1.94892,-0.96692,0.154545,-1.34703,-2.457,-1.46224,0.297585,-0.2457,-0.03452,8
-2.2176,0.07295,-1.05598,-0.22088,-0.95344,-1.73621,-1.12197,-0.0215565,-1.32825,-2.00244,-0.9459,-0.0574765,-1.03663,-1.94892,-0.9459,0.138364,-1.23062,-2.457,-1.36344,0.257564,-0.3185,-0.03452,8
-2.10672,0.13131,-0.67069,-0.24598,-0.6464,-1.53195,-0.86595,0.00257376,-0.9315,-1.73184,-0.81978,-0.0513062,-0.5271,-1.75224,-0.83029,0.101694,-0.91465,-2.2386,-1.30416,0.220894,-0.364,-0.02589,8
-2.26512,0.07295,-1.27003,-0.21586,-0.92112,-1.77998,-1.14456,-0.01818,-1.311,-1.91224,-0.9459,-0.05859,-1.0542,-1.98468,-0.92488,0.13725,-1.24725,-2.4206,-1.44248,0.26241,-0.273,-0.02589,8
-2.20176,0.07295,-1.05598,-0.22088,-0.95344,-1.76539,-1.13703,-0.0193568,-1.36275,-1.96636,-0.97743,-0.0642568,-1.17719,-1.94892,-0.9459,0.149943,-1.29714,-2.3842,-1.30416,0.275103,-0.3185,-0.02589,8
-2.2176,0.13131,-1.21295,-0.19578,-0.8888,-1.73621,-1.15209,-0.0416283,-1.3455,-1.8942,-0.90386,-0.0730583,-1.14205,-1.94892,-0.95641,0.190102,-1.3304,-2.4206,-1.4326,0.315262,-0.3822,-0.02589,8
-2.20176,0.11672,-0.9989,-0.22088,-0.87264,-1.7508,-1.15962,-0.0284634,-1.36275,-1.8942,-0.92488,-0.0733634,-1.10691,-1.89528,-0.91437,0.177557,-1.24725,-2.366,-1.37332,0.296757,-0.3367,-0.02589,8
-2.23344,0.10213,-1.18441,-0.22088,-0.92112,-1.77998,-1.18974,-0.0261098,-1.36275,-1.94832,-0.90386,-0.0620298,-1.17719,-1.94892,-0.91437,0.15217,-1.26388,-2.4388,-1.47212,0.25945,-0.3367,0.00863,8
-2.26512,0.16049,-0.82766,-0.21586,-0.8888,-1.7508,-1.16715,-0.031004,-1.449,-1.94832,-0.95641,-0.062434,-1.15962,-1.8774,-0.97743,0.157886,-1.34703,-2.4024,-1.47212,0.283046,-0.2366,0.00863,8
-2.28096,0.16049,-0.78485,-0.2259,-0.75952,-1.63408,-1.04667,-0.0416283,-1.22475,-1.8942,-0.85131,-0.0730583,-0.94878,-1.84164,-0.88284,0.190102,-1.26388,-2.3296,-1.47212,0.351022,-0.4914,0.01726,8
-2.2968,0.17508,-1.1416,-0.20582,-0.74336,-1.69244,-1.1295,-0.0468635,-1.32825,-1.93028,-0.88284,-0.0693135,-1.08934,-1.89528,-0.88284,0.187726,-1.3304,-2.3842,-1.27452,0.348646,-0.4732,0.00863,8
